profit_center,nama_outlet,posting_date,account_no,gl_acct_long_text,text,doc_id,doc_type,debit,kredit
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027180,QS,0,-19344
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027181,QS,0,-17101
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027186,QS,0,-351291
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027189,QS,0,-23900
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027191,QS,0,-30550
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027192,QS,0,-85248
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027195,QS,0,-19344
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027196,QS,0,-13338
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027198,QS,0,-93366
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027200,QS,0,-107230
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027202,QS,0,-13338
BX40,KF Jakal 3.5,3/15/2025,1107010301,Persediaan Barang Jadi,,640025477,QS,0,-105488
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025083,QS,0,-27742
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025194,QS,0,-67545
BX26,KF Sorosutan,3/31/2025,1107010301,Persediaan Barang Jadi,,640038800,QS,0,-67545
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027177,QS,0,-34700
BX52,KF Jamal 5.5,3/20/2025,1107010301,Persediaan Barang Jadi,,640034908,QS,0,-34700
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025134,QS,0,-34700
BX25,KF PETANGPULUHAN,3/15/2025,1107010301,Persediaan Barang Jadi,,640025290,QS,0,-34700
BX12,KF.0401 Seturan,3/3/2025,1107010301,Persediaan Barang Jadi,,640022238,QS,0,-243653
BX19,KF.0524 Banteng,3/3/2025,1107010301,Persediaan Barang Jadi,,640022239,QS,0,-62845
BX20,KF.0592 Wates,3/3/2025,1107010301,Persediaan Barang Jadi,,640022241,QS,0,-160845
BX51,KF Sudirman Magelang,3/16/2025,1107010301,Persediaan Barang Jadi,,640027190,QS,0,-238660
BX03,KF.0070,3/21/2025,1107010301,Persediaan Barang Jadi,,640034921,QS,0,-238660
BX41,KF Purwomartani,3/18/2025,1107010301,Persediaan Barang Jadi,,640032858,QS,0,-186240
BX50,KF Bhayangkara Kulon,3/15/2025,1107010301,Persediaan Barang Jadi,,640025400,QS,0,-118750
BX50,KF Bhayangkara Kulon,3/15/2025,1107010301,Persediaan Barang Jadi,,640025465,QS,0,-118750
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027078,QS,0,-118750
BX22,KF.0610 Condong Cat,3/18/2025,1107010301,Persediaan Barang Jadi,,640032910,QS,0,-118750
BX52,KF Jamal 5.5,3/20/2025,1107010301,Persediaan Barang Jadi,,640034897,QS,0,-118750
BX40,KF Jakal 3.5,3/15/2025,1107010301,Persediaan Barang Jadi,,640025411,QS,0,-85500
BX10,KF.0316,3/26/2025,1107010301,Persediaan Barang Jadi,,640036806,QS,0,-514100
BX10,KF.0316,3/26/2025,1107010301,Persediaan Barang Jadi,,640036808,QS,0,-1083320
BX41,KF Purwomartani,3/26/2025,1107010301,Persediaan Barang Jadi,,640036809,QS,0,-277020
BX32,KF. Wonosari,3/15/2025,1107010301,Persediaan Barang Jadi,,640025218,QS,0,-52250
BX21,KF.0609 Tajem,3/15/2025,1107010301,Persediaan Barang Jadi,,640025264,QS,0,-52250
BX21,KF.0609 Tajem,3/15/2025,1107010301,Persediaan Barang Jadi,,640025306,QS,0,-52250
